Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,MonetaryRank
129,22,24999.45,1,2,4,124,At Risk.,354.0
44,23,24980.94,2,3,4,234,Potential Loyalist.,358.0
27,20,21868.97,3,2,3,323,Potential Loyalist.,571.0
7,27,28094.19,5,4,5,545,Loyal Customers,189.0
1,23,21801.31,5,3,3,533,Hibernating,576.0
19,21,24385.52,4,2,4,424,Potential Loyalist.,399.0
8,28,27937.871,5,5,5,555,Champions,197.0
62,30,25566.5,2,5,4,254,Potential Loyalist.,323.0
46,23,21344.57,2,3,3,233,Potential Loyalist.,600.0
10,18,18227.68,5,1,2,512,Hibernating,793.0
29,18,17069.37,3,1,1,311,Potential Loyalist.,856.0
78,29,31282.64,1,5,5,155,Potential Loyalist.,76.0
88,21,19290.6,1,2,2,122,At Risk.,725.0
24,29,25945.1,4,5,4,454,Loyal Customers,298.0
10,27,29347.84,5,4,5,545,Loyal Customers,138.0
125,20,18966.96,1,2,2,122,At Risk.,750.0
3,18,16979.79,5,1,1,511,Hibernating,859.0
9,17,17819.05,5,1,1,511,Hibernating,816.0
22,24,21921.0,4,3,3,433,Potential Loyalist.,566.0
13,22,26445.09,4,2,4,424,Potential Loyalist.,270.0
21,20,14662.12,4,2,1,421,Potential Loyalist.,941.0
12,15,10375.62,4,1,1,411,Potential Loyalist.,998.0
26,24,27829.291,3,3,4,334,Potential Loyalist.,201.0
69,28,29704.0,2,5,5,255,Potential Loyalist.,119.0
63,24,25589.31,2,3,4,234,Potential Loyalist.,321.0
22,27,30372.82,4,4,5,445,Loyal Customers,99.0
109,23,23094.17,1,3,3,133,Potential Loyalist.,493.0
24,15,13406.83,4,1,1,411,Potential Loyalist.,969.0
25,20,14980.21,3,2,1,321,Potential Loyalist.,935.0
24,18,17379.42,4,1,1,411,Potential Loyalist.,841.0
29,17,18685.89,3,1,2,312,Potential Loyalist.,765.0
36,28,29173.42,3,5,5,355,Potential Loyalist.,146.0
184,25,27261.55,1,4,4,144,Potential Loyalist.,226.0
26,29,25912.05,3,5,4,354,Potential Loyalist.,300.0
83,24,18609.5,1,3,2,132,Potential Loyalist.,772.0
58,20,25293.3,2,2,4,224,At Risk.,338.0
53,17,16806.78,2,1,1,211,At Risk.,862.0
77,28,32468.32,2,5,5,255,Potential Loyalist.,48.0
52,23,23696.46,2,3,3,233,Potential Loyalist.,441.0
32,21,23621.72,3,2,3,323,Potential Loyalist.,447.0
60,19,12437.01,2,1,1,211,At Risk.,988.0
43,25,29290.19,2,4,5,245,Potential Loyalist.,139.0
23,25,29266.57,4,4,5,445,Loyal Customers,140.0
402,21,24325.19,1,2,3,123,At Risk.,403.0
15,21,21809.11,4,2,3,423,Potential Loyalist.,573.0
32,20,21120.48,3,2,2,322,Potential Loyalist.,615.0
126,25,29494.56,1,4,5,145,Potential Loyalist.,131.0
5,23,22028.01,5,3,3,533,Hibernating,562.0
